timestamp,trial,response_time,cursor_position,target_response,response
2024-02-17 15:27:59.543933,0,0.8591334999655373,0,m,m
2024-02-17 15:27:59.607779,0,0.04218889999901876,1,a,a
2024-02-17 15:27:59.762291,0,0.12835429998813197,2,c,c
2024-02-17 15:28:00.019511,0,0.23716389999026433,3,e,e
2024-02-17 15:28:00.239123,0,0.18918839999241754,4,d,d
2024-02-17 15:28:00.392420,0,0.12594050000188872,5,o,o
2024-02-17 15:28:00.502892,0,0.08707159996265545,6,n,n
2024-02-17 15:28:00.657540,0,0.1410804000333883,7,i,i
2024-02-17 15:28:00.752016,0,0.0694190000067465,8,a,a
2024-02-17 15:28:00.880911,0,0.11473430000478402,9,space,space
2024-02-17 15:28:01.078084,0,0.17851719999453053,10,t,t
2024-02-17 15:28:01.138497,0,0.039301600016187876,11,h,h
2024-02-17 15:28:01.254811,0,0.08806340000592172,12,a,a
2024-02-17 15:28:01.330065,0,0.04754289996344596,13,i,i
2024-02-17 15:28:01.526006,0,0.17692840000381693,14,l,l
2024-02-17 15:28:01.620979,0,0.07167209999170154,15,a,a
2024-02-17 15:28:01.714154,0,0.06559180002659559,16,n,n
2024-02-17 15:28:01.801865,0,0.06948050000937656,17,d,d
2024-02-17 15:28:01.888793,0,0.0726264999830164,18,space,space
2024-02-17 15:28:02.093128,0,0.17749149998417124,19,d,g
2024-02-17 15:28:02.233320,0,0.11779940000269562,19,d,j
2024-02-17 15:28:02.855956,0,0.606765299977269,19,d,d
2024-02-17 15:28:02.927835,0,0.04495189996669069,20,j,j
2024-02-17 15:28:03.026101,0,0.07564719999209046,21,i,i
2024-02-17 15:28:03.159537,0,0.11012600001413375,22,b,b
2024-02-17 15:28:03.518274,0,0.3356276000267826,23,o,o
2024-02-17 15:28:03.704835,0,0.1722105999942869,24,u,u
2024-02-17 15:28:03.796586,0,0.06380010000430048,25,t,t
2024-02-17 15:28:04.029567,0,0.213618999987375,26,i,r
2024-02-17 15:28:04.117491,0,0.06742670002859086,26,i,i
2024-02-17 15:28:04.449473,0,0.31646030000410974,27,space,space
2024-02-17 15:28:04.640173,0,0.17347839998546988,28,m,m
2024-02-17 15:28:04.716694,0,0.05013119999784976,29,i,i
